event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2002fk,52549.48,13.60900,0.01100,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52549.48,13.37500,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52549.48,13.36300,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52549.67,12.45,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52549.89,13.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52550.45,13.34900,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52550.45,13.65500,0.01100,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52550.45,13.38000,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52550.45,13.39700,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52550.96955,12.984,0.026,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52550.97708,13.336,0.024,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52550.97852,13.693,0.018,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52550.98377,13.362,0.019,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52550.98486,13.369,0.019,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.15,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.17,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.47,13.38300,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.47,13.70100,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.47,13.48700,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.47,13.42100,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.48,13.45700,0.01100,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.48,13.65500,0.01000,,I,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.48,13.40600,0.01000,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.48,13.42400,0.01000,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52551.93877,13.451,0.018,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.94204,13.737,0.018,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.94394,13.369,0.021,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52551.94656,13.11,0.028,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52552.02,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52552.1,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52552.44,13.46200,0.01000,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52552.44,13.70700,0.01700,,I,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52552.44,13.42400,0.01000,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52552.44,13.45400,0.01000,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52552.69,12.69,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52552.69,13.13,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52553.1,13.1,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52553.11,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52553.12,13.2,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52553.26,13.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52553.45,13.51400,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52553.45,13.78400,0.01100,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52553.45,13.47600,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52553.45,13.46900,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52553.94372,13.552,0.017,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52554.05,13,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52554.15,13.2,,,C,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52555.44,13.65100,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52555.44,13.95300,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52555.44,13.60700,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52555.44,13.55100,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52556.08,13.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52556.84347,13.626,0.049,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52556.84669,13.746,0.035,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52556.84919,13.595,0.014,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52556.851,13.7,0.016,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52556.85244,14.089,0.02,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52557.65,12.72,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52557.65,13.17,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.65,12.63,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.65,13.28,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.87971,13.913,0.061,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.88293,13.956,0.016,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.88542,13.736,0.016,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52558.88867,14.213,0.017,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52559.45,13.96000,0.01100,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52559.45,14.19900,0.01300,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52559.45,13.89600,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52559.45,13.77200,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52560.01,13.6,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52560.03,13.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52560.05,13.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52560.1,13.9,,,C,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.05,13.6,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.07,13.7,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.40,14.20800,0.01300,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52561.40,14.28600,0.02900,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52561.40,14.07400,0.01900,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52561.82509,14.766,0.067,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.82832,14.3,0.02,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.83081,13.932,0.017,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.83263,14.051,0.022,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52561.83409,14.306,0.031,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52562.39,14.27700,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52562.39,14.29200,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52562.39,14.06800,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52562.39,13.96700,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52563.06,14,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52565.40,14.63800,0.01000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52565.40,14.26400,0.01200,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52565.40,14.13600,0.01100,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52565.40,14.14400,0.01300,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52565.87438,14.174,0.018,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52565.87619,14.116,0.02,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52565.87764,14.225,0.015,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52566.0,13.9,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52570.45,14.19200,0.04000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52570.45,14.19400,0.03000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52570.45,14.39600,0.02600,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52571.83,14.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52572.81662,15.9,0.066,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52572.81985,15.491,0.019,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52572.82235,14.508,0.015,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52572.82413,14.21,0.019,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52572.82557,14.052,0.017,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52573.02,14,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52573.89,14,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52574.37,15.49400,0.01300,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52574.37,14.02300,0.01100,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52574.37,14.22800,0.01500,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52574.37,14.58700,0.01200,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52575.63,12.63,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52575.63,13.87,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52575.8377,15.732,0.015,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52575.84017,14.677,0.012,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52575.84197,14.303,0.015,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52575.84343,14.049,0.016,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52576.39,15.67200,0.01600,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52576.39,14.03500,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52576.39,14.35400,0.01300,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52576.39,14.72100,0.01000,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52579.40,15.86600,0.01400,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52579.40,14.11000,0.02200,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52579.40,14.51200,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52579.40,14.89700,0.01700,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52581.93838,16.075,0.016,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52581.94084,15.043,0.025,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52581.94262,14.668,0.014,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52581.94404,14.292,0.015,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.02,14.7,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.33,15.08,,,V,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.37,16.02400,0.01400,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.37,14.29200,0.01000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.37,14.71500,0.01000,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.37,15.09100,0.02600,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.38,16.07900,0.01000,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.38,14.25700,0.01000,,I,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.38,14.74800,0.01000,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.38,15.11900,0.01000,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52582.8185,16.383,0.077,,U,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.82167,16.147,0.029,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.82413,15.093,0.016,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.82589,14.717,0.015,,R,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.82733,14.352,0.016,,I,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.9,14.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52582.92,14.3,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52583.38,16.13900,0.01000,,B,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52583.38,14.29700,0.01000,,I,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52583.38,14.81400,0.01000,,R,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52583.38,15.16100,0.01000,,V,,nickel,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52587.99,15.1,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52588.43,16.26900,0.02000,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52588.43,15.07700,0.01700,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52588.43,15.40100,0.02600,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52588.96,14.4,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52589.85,14.5,,,R,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52594.34,16.45900,0.01900,,B,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52594.34,15.00200,0.02000,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52594.34,15.28100,0.01600,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52594.34,15.57200,0.02100,,V,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52596.49,14.53,,,I,,,"VSNET Oct2003,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52600.40,15.34900,0.03900,,I,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52600.40,15.54000,0.04200,,R,,kait3,"2012MNRAS.425.1789S,2010ApJS..190..418G"
SN2002fk,52600.71066,16.631,0.018,,B,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2002fk,52600.71383,15.737,0.018,,V,,,"2009ApJ...700..331H,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
